pas accuracy,shooting,age,free_kick_accuracy,ball_control,balance,vision,jumping,strength,positioning,crossing,heading_accuracy,finishing
77,79,30,58,81,77,66,77,74,87,60,76,87
64,77,28,68,88,48,85,49,79,74,73,68,75
81,69,23,68,87,79,88,63,65,69,73,42,62
79,80,23,20,12,43,45,63,67,11,17,11,14
73,74,25,69,84,71,83,83,63,77,69,76,71
74,40,24,56,68,50,57,74,83,33,68,78,27
82,76,24,54,83,71,78,64,62,80,82,69,74
63,35,26,28,66,54,41,85,77,29,35,81,34
71,56,26,51,70,64,46,89,78,48,51,78,42
77,61,28,48,82,89,75,77,69,67,67,32,67
85,79,26,79,84,84,75,74,68,82,77,70,76
73,80,24,44,81,64,78,74,74,84,63,74,82
92,77,27,58,82,78,77,75,68,78,76,48,75
93,71,22,49,84,92,75,60,64,81,73,38,73
82,75,23,80,89,86,82,50,50,76,81,50,70
93,70,23,78,87,79,74,72,59,78,76,40,70
72,63,23,77,70,40,66,77,87,53,67,83,52
71,59,27,57,68,64,57,85,82,57,75,82,50
93,74,24,74,82,87,73,71,56,78,75,50,72
86,83,24,70,82,77,78,65,62,83,75,65,83
62,50,29,56,67,35,59,68,84,20,25,77,37
50,66,24,70,80,61,82,39,76,77,66,62,49
81,75,27,76,83,84,87,69,67,79,75,41,78
79,77,27,76,82,84,86,67,59,85,77,45,77
67,82,25,71,80,50,63,72,87,85,54,84,84
81,78,27,75,84,69,79,68,78,78,82,69,78
82,82,27,11,17,43,41,73,69,10,14,16,11
74,48,29,45,74,92,72,92,77,58,55,68,31
58,42,28,46,71,58,56,78,85,39,54,77,37
83,77,25,78,83,92,79,63,62,78,74,37,72
91,74,29,69,83,83,72,75,57,78,78,58,67
92,77,26,78,83,90,78,61,63,77,76,51,71
83,61,26,39,76,76,64,69,71,72,79,67,54
50,73,29,70,80,36,74,74,88,82,53,81,72
64,66,26,57,76,66,67,81,93,65,63,73,63
92,79,29,73,85,83,79,62,62,74,73,56,76
83,76,29,72,88,84,79,68,62,77,76,53,76
71,84,28,69,83,78,83,73,70,86,76,64,84
80,83,26,78,85,50,70,75,85,77,68,66,84
68,75,26,70,82,75,80,67,69,82,75,58,72
83,77,27,14,22,51,48,71,65,14,12,16,12
66,81,27,89,84,61,84,70,67,80,86,60,81
80,73,27,78,85,87,78,72,49,76,77,46,74
77,74,28,74,85,57,81,68,84,80,83,71,73
72,70,27,74,80,71,82,81,76,76,81,65,67
71,84,29,69,86,76,84,66,69,85,81,63,86
80,83,31,11,23,49,47,64,66,10,19,24,16
53,57,28,57,71,56,63,73,83,50,50,73,49
81,75,31,10,23,62,58,84,68,13,15,12,10
58,51,31,60,73,46,60,86,84,45,68,83,47
81,75,26,70,84,80,78,82,71,82,67,72,74
30,41,30,37,72,32,47,40,90,32,44,89,41
53,81,30,65,82,52,75,82,90,83,64,90,83
62,61,33,48,66,47,57,83,85,61,72,85,57
79,80,29,52,79,83,72,82,53,87,62,82,87
58,75,30,84,80,74,84,59,70,78,81,47,69
68,64,28,47,75,63,76,77,76,69,69,78,59
71,74,28,68,85,60,78,72,79,75,69,77,71
87,82,30,70,80,77,76,84,64,86,70,67,84
80,80,34,38,41,64,69,81,70,15,12,18,13
81,81,30,15,24,41,31,38,80,11,14,12,12
69,69,34,76,68,36,59,41,82,53,45,91,57
76,82,27,68,81,64,74,72,71,84,62,73,83
81,63,26,57,76,76,73,75,74,68,81,62,57
84,79,28,71,81,79,80,69,68,81,80,64,81
81,84,31,16,22,32,60,66,58,10,12,13,17
71,72,30,74,82,83,83,73,65,76,82,52,69
78,76,30,79,85,90,81,50,63,79,79,42,76
65,43,32,23,66,59,53,82,86,28,32,78,37
70,71,32,82,80,84,76,71,64,73,86,74,63
82,83,30,15,23,40,46,80,51,10,10,10,10
69,75,30,79,82,84,80,79,64,73,77,70,74
82,80,29,11,12,45,44,49,65,12,11,15,14
57,41,31,45,67,56,49,77,82,30,38,77,27
81,78,30,13,20,32,42,69,61,14,14,10,14
72,82,31,36,75,53,62,76,86,84,62,83,84
82,58,32,59,79,62,72,68,74,68,83,59,54
72,79,32,73,87,83,83,71,63,82,73,63,81
71,73,30,64,86,76,83,78,70,81,82,70,71
73,73,32,71,78,79,75,72,75,68,68,55,69
69,83,35,80,85,75,75,67,66,86,71,67,86
77,59,33,66,75,79,62,75,72,66,82,72,45
78,81,32,14,23,45,37,59,70,15,18,16,13
92,77,19,78,80,78,73,63,73,81,75,68,79
87,79,20,54,85,92,75,75,63,83,66,66,83
92,57,23,30,78,83,62,80,59,73,75,58,50
94,70,22,60,83,94,78,65,48,77,79,51,66
83,76,20,81,83,84,79,58,63,76,79,57,74
70,50,21,46,81,65,79,64,63,56,58,63,47
71,47,21,27,64,55,44,74,86,34,36,81,40
69,77,29,47,75,55,72,87,84,85,58,91,79
73,81,26,71,84,77,66,69,68,84,70,69,82
73,73,24,74,84,74,81,68,62,76,72,62,69
93,78,23,53,81,43,75,84,84,76,78,67,78
48,58,27,57,81,72,74,65,74,60,55,46,51
72,31,21,22,72,62,62,74,72,32,49,79,36
70,67,22,61,83,83,79,79,65,76,88,69,66
93,71,22,69,83,90,69,78,57,75,76,52,70
85,80,22,76,86,73,77,66,65,81,76,62,77
70,72,22,57,82,50,81,72,78,74,69,75,66
77,75,23,82,83,86,79,64,54,76,85,61,72
91,79,30,48,76,77,72,74,68,84,63,64,83
76,74,24,83,80,60,88,42,59,75,86,53,70
72,49,24,33,71,64,56,83,88,29,60,84,50
75,64,25,76,84,73,83,61,58,72,70,56,57
95,51,22,50,79,77,63,65,62,67,76,60,52
81,83,24,14,26,35,31,61,63,16,11,12,16
79,80,26,56,80,69,66,89,86,83,52,81,82
76,74,25,56,80,49,71,72,85,78,81,72,72
92,75,24,69,86,88,78,44,53,70,79,44,71
74,77,24,61,84,81,80,73,66,77,72,55,74
76,37,27,37,74,68,53,81,78,37,70,80,32
79,83,28,10,32,50,60,71,67,11,17,12,10
77,64,25,61,80,74,80,52,75,69,81,62,64
83,79,26,77,83,86,76,85,57,83,73,74,84
81,82,28,78,82,75,76,65,73,80,74,68,83
77,73,23,70,87,58,81,63,82,71,65,65,69
87,78,26,54,82,69,73,78,79,82,74,71,81
90,71,24,51,86,79,74,50,73,74,79,43,74
77,52,26,45,78,71,75,86,68,61,55,82,43
84,66,24,30,77,78,71,93,81,74,80,75,65
58,40,26,19,63,31,50,62,93,49,17,80,32
65,58,27,62,75,52,71,75,91,52,59,83,42
80,68,26,64,82,81,82,67,47,76,64,34,65
56,40,27,18,67,43,56,82,86,21,59,77,33
75,77,27,78,83,77,79,74,63,73,79,67,75
84,62,26,39,76,55,69,83,75,76,76,73,58
74,67,24,84,78,72,74,73,70,68,87,64,59
83,72,24,67,84,87,77,72,39,80,73,67,76
81,70,26,54,75,60,57,73,79,64,79,64,68
77,69,26,84,79,58,68,70,79,73,81,70,64
68,72,25,73,90,85,82,62,68,82,77,49,74
79,77,27,15,19,39,53,69,55,9,11,11,11
60,66,27,68,81,73,78,48,66,79,65,51,64
86,62,28,53,81,74,66,78,74,80,78,59,59
72,46,27,22,58,48,49,75,87,48,52,83,50
71,69,25,72,84,85,83,67,66,80,73,58,64
71,67,27,79,84,73,80,65,65,72,73,59,63
82,71,24,76,86,88,79,76,45,72,74,56,70
80,76,26,12,24,37,45,75,73,12,13,11,13
76,78,27,82,81,75,87,61,59,75,82,45,78
61,60,27,59,75,63,79,85,78,66,50,83,58
76,74,28,72,81,64,75,88,69,75,64,80,72
73,79,29,54,79,58,66,68,78,90,60,80,85
81,76,27,69,82,85,81,61,74,78,73,59,76
81,71,28,64,87,79,84,64,54,78,79,57,66
71,76,32,55,79,71,78,77,78,82,70,75,70
58,81,29,71,78,34,66,79,90,83,60,85,82
61,33,27,30,61,53,49,82,90,32,60,74,23
53,54,31,55,64,50,22,76,91,24,28,79,45
77,81,27,72,88,69,78,70,72,80,72,74,80
73,66,28,35,78,74,70,72,73,75,81,67,62
64,55,28,73,67,58,49,70,83,31,54,82,55
80,83,30,12,15,51,35,71,77,11,12,23,11
80,75,32,77,82,93,77,60,34,76,79,50,74
80,76,29,12,26,42,40,69,72,16,11,16,11
68,36,30,17,66,48,46,80,80,29,34,77,25
83,77,29,76,85,73,67,73,62,80,81,64,77
76,64,30,71,84,88,83,74,57,67,73,55,58
57,77,30,68,84,63,85,76,82,85,77,90,75
61,38,32,27,59,52,28,75,85,33,39,84,35
86,78,32,12,17,36,55,74,61,11,14,13,13
80,79,31,13,28,52,46,73,66,12,17,16,12
76,77,30,75,83,79,78,76,72,74,74,53,75
45,52,33,60,73,64,62,65,81,41,60,83,47
72,83,31,70,73,59,72,70,89,81,72,78,86
64,73,33,75,79,73,79,60,69,72,67,51,67
68,47,33,46,70,60,64,86,78,32,38,84,44
73,75,35,83,83,65,86,67,72,76,85,60,69
39,75,32,78,80,63,84,80,77,75,76,78,69
78,79,35,12,22,35,53,73,71,13,11,11,13
85,78,33,12,24,49,62,62,57,10,11,12,11
68,81,31,81,80,77,80,76,83,79,78,75,80
27,41,32,45,64,28,58,30,83,43,38,84,36
32,64,34,67,81,50,74,84,83,50,66,77,54
76,78,33,63,81,54,76,75,76,82,68,77,77
74,83,36,72,78,74,75,89,70,83,69,75,85
71,71,22,66,84,59,77,85,86,79,56,86,69
53,79,20,74,81,76,83,65,71,74,76,57,73
63,35,24,26,63,58,46,84,78,26,30,79,28
82,80,22,65,85,83,69,52,62,79,64,65,82
67,71,22,62,81,72,82,54,71,68,65,51,62
75,76,24,18,21,37,65,52,78,13,17,19,13
83,62,24,77,78,70,67,81,64,73,85,67,52
81,73,21,52,83,75,83,63,65,77,74,42,74
68,73,23,80,84,77,81,72,69,78,72,46,72
61,39,22,25,65,53,50,81,80,28,40,80,33
76,75,22,70,80,69,80,75,76,74,79,69,75
86,67,22,72,81,78,80,63,41,81,82,43,69
83,69,23,65,84,76,82,54,54,75,77,52,64
88,62,23,42,78,78,75,76,62,78,80,64,60
86,60,21,80,81,81,60,64,67,71,78,64,50
82,70,24,59,84,87,76,84,45,69,67,55,71
77,60,27,65,81,67,72,63,77,62,79,73,55
71,67,23,65,80,71,79,76,84,73,70,70,60
82,78,25,56,79,69,58,72,71,82,61,78,81
78,53,24,25,69,55,56,76,91,62,74,73,42
72,67,23,78,83,77,82,61,69,76,74,60,55
78,81,22,19,16,39,55,71,51,15,25,17,11
82,80,24,74,77,78,77,74,79,80,76,73,81
67,61,27,45,78,73,69,71,78,63,63,69,53
88,73,26,70,82,78,77,59,66,76,74,55,73
79,77,24,59,81,67,69,70,72,83,69,78,79
70,31,24,28,64,58,55,81,78,30,46,79,27
79,74,23,72,85,76,81,58,55,77,77,44,75
79,80,23,46,77,78,63,81,82,83,65,73,83
74,39,24,28,62,51,57,74,84,40,36,86,39
83,55,25,57,78,72,68,84,73,65,82,69,44
34,36,29,43,64,36,32,82,91,30,30,79,25
84,74,24,14,23,43,45,74,55,8,14,14,18
81,79,24,79,82,81,81,64,59,80,85,38,79
78,80,27,75,80,77,78,81,61,86,75,79,82
77,69,24,53,80,75,75,82,72,76,83,76,71
80,64,26,68,78,62,58,73,73,64,82,70,54
70,82,29,84,87,56,82,33,68,78,78,58,78
77,81,24,76,81,84,81,77,82,80,78,67,80
77,64,26,49,78,82,79,69,74,78,70,59,62
71,71,30,69,80,52,81,69,80,80,54,53,69
70,67,28,76,85,80,84,64,62,73,79,63,65
89,77,26,60,85,77,73,62,80,78,60,65,80
76,73,25,73,82,81,81,45,58,75,81,61,73
88,70,23,53,82,88,72,66,70,74,75,39,68
70,59,26,53,73,50,65,76,82,63,52,78,49
75,74,24,77,81,83,86,71,62,74,77,50,68
72,68,27,77,77,73,75,74,75,53,68,69,57
61,56,25,35,68,61,59,83,81,42,64,77,50
66,77,27,47,80,66,72,81,83,87,70,80,83
84,80,27,13,24,49,40,79,63,11,11,14,15
74,40,26,38,80,66,64,82,69,46,84,63,28
77,81,27,75,84,73,70,76,75,82,75,58,79
77,77,26,56,82,72,84,65,69,74,77,65,76
83,82,26,68,79,76,76,72,66,80,76,63,80
66,61,28,57,75,65,65,79,76,60,61,75,55
82,78,24,16,22,58,34,59,80,17,20,14,19
78,68,26,72,83,75,81,66,64,76,78,60,63
76,57,25,62,71,49,67,55,85,55,60,78,50
80,73,31,79,83,66,77,69,42,75,78,69,75
84,77,26,69,80,75,71,74,66,84,68,74,80
63,55,28,74,60,45,52,71,88,44,70,83,40
87,74,26,64,80,84,73,87,63,81,78,67,76
60,56,27,62,80,75,76,71,74,68,80,71,46
87,75,24,63,86,82,73,60,54,76,70,51,75
85,74,27,60,78,76,65,84,86,77,73,88,74
79,72,27,75,85,86,78,36,53,80,78,53,75
59,64,28,66,80,43,79,43,80,73,57,78,61
75,77,27,52,78,48,53,71,89,82,48,88,77
57,53,28,54,69,68,62,91,77,57,61,79,48
80,51,29,72,71,63,52,74,75,54,79,73,37
70,60,26,64,74,71,72,66,78,63,68,63,55
77,74,27,76,82,72,81,74,66,76,77,67,73
35,75,27,76,83,56,87,30,67,74,83,65,72
87,80,27,64,78,66,75,67,75,83,56,70,82
84,74,26,62,78,63,72,80,78,80,69,75,75
64,59,29,45,72,62,68,75,78,51,61,73,46
43,70,28,44,79,55,77,77,79,70,47,82,69
77,58,27,35,75,78,63,73,65,64,71,68,55
54,34,29,34,72,50,37,68,86,28,50,80,22
73,78,26,67,78,48,73,82,90,76,58,87,79
88,72,29,74,78,93,76,72,47,76,80,44,66
51,50,27,39,76,45,44,63,90,44,56,74,46
89,76,29,68,81,81,77,73,76,71,82,63,75
85,80,30,78,85,80,78,50,60,85,72,60,81
75,83,30,25,20,58,52,69,79,12,24,13,14
76,53,31,59,77,74,66,75,69,64,78,67,39
70,51,28,30,60,61,65,73,76,49,43,75,39
69,70,31,61,81,75,81,59,73,78,70,59,69
75,79,30,47,77,71,66,74,76,83,56,77,82
77,81,32,59,85,81,73,32,70,83,68,34,81
75,73,30,78,86,68,82,68,78,75,78,60,62
67,76,30,84,85,73,82,45,63,74,90,36,74
73,77,30,71,83,68,76,79,82,77,75,74,75
68,45,30,37,65,56,48,90,77,30,49,83,41
66,49,29,28,68,62,59,74,75,46,64,84,43
78,76,30,13,40,44,55,63,75,11,11,12,14
78,80,30,71,84,76,74,35,70,79,85,55,74
77,61,30,61,73,65,71,80,73,68,79,69,56
75,73,28,83,81,59,80,59,68,74,78,67,69
66,68,27,76,85,81,83,69,65,80,83,57,62
76,77,25,79,82,70,80,64,59,77,76,71,73
79,53,27,66,79,68,51,71,73,63,82,69,50
67,73,29,75,84,66,81,49,78,75,79,57,65
60,42,31,35,56,34,47,66,90,30,46,84,38
83,51,30,62,69,70,63,71,72,60,73,66,40
76,67,32,66,78,68,56,70,74,66,78,72,58
42,31,31,48,61,63,49,86,78,40,35,81,22
51,33,31,35,55,40,18,80,87,28,30,76,16
91,75,28,74,78,79,72,66,62,80,74,58,77
77,84,32,12,22,44,52,68,65,15,14,11,13
79,79,34,17,25,50,42,75,57,14,15,14,18
53,80,32,56,76,59,73,72,79,86,65,83,85
65,62,32,50,82,72,75,67,74,64,60,60,54
68,78,31,62,85,78,75,76,68,83,69,76,83
79,76,31,70,83,76,79,74,71,70,79,59,71
48,58,32,40,63,36,49,64,83,54,49,81,51
78,84,32,75,78,72,78,71,78,79,75,65,82
56,60,33,62,74,60,72,70,77,58,59,60,54
70,75,33,82,80,74,86,67,70,74,81,58,69
82,80,33,13,21,50,43,62,55,10,10,13,17
76,78,34,66,23,59,57,76,71,10,10,10,19
80,78,34,12,20,51,45,84,62,12,13,12,17
62,76,35,70,83,64,84,53,70,77,74,52,74
67,74,31,77,78,73,77,64,73,75,85,69,66
69,65,34,64,80,62,66,60,79,64,70,75,63
68,66,31,54,79,62,58,80,79,56,56,76,58
72,62,33,71,65,39,42,67,90,53,79,80,51
84,82,33,12,14,57,40,76,79,14,12,13,11
50,46,34,31,62,62,39,83,80,51,55,79,30
74,85,34,68,77,88,67,75,61,87,54,66,87
83,77,37,11,32,56,67,75,72,12,18,18,12
44,65,35,59,79,62,83,72,66,66,72,71,59
89,74,23,70,79,74,78,49,50,74,70,43,73
73,73,20,55,82,69,78,58,59,80,81,44,75
85,76,26,40,77,77,58,78,83,83,52,77,80
82,75,28,13,27,44,51,60,81,18,21,13,16
78,78,24,55,76,69,67,79,75,84,62,76,79
84,72,25,78,79,84,78,69,71,72,86,55,67
70,48,22,66,62,47,49,81,79,37,48,78,36
78,75,23,18,30,47,48,57,76,12,20,16,14
73,34,22,27,75,53,43,72,80,42,36,70,23
